business,name,city,state,country,energyType,date,size,longitude,latitude,aws_percent,aws_size_MW
AWS,Amazon Solar+Wind Farm India - Rajgarh,India,India,India,Solar farm,2024,150,75.13,22.7,100%,150
"50% AWS, 50% Amazon.com",Amazon Solar+Wind Farm India - Gadag,India,India,India,Solar farm,2024,200,75.897,15.743,50%,100
AWS,Amazon Solar+Wind Farm India - Gadag Koppal,India,India,India,Solar farm,2024,150,75.936,15.251,100%,150
AWS,Indonesia Green Tariff,Indonesia,Indonesia,Indonesia,Solar farm,2024,210,111.258,-7.502,100%,210
AWS,Amazon Solar Farm II,Japan,Japan,Japan,Solar farm,2024,15,139.071,36.13,100%,15
AWS & Devices,Amazon Solar Farm Australia - Wandoan,Australia,Australia,Australia,Solar farm,2024,125,149.77,-26.27,100%,125
AWS,Amazon Wind Farm Canada - Buffalo Plains,Canada,Canada,Canada,Wind farm,2025,415,-112.727,50.361,100%,415
AWS,Amazon Solar Farm Texas - Nazareth,Swisher and Castro,Texas,US,Solar farm,2025,170,-101.98,34.49,100%,170
AWS,Amazon Solar Farm Texas - Rio Lago,Bandera County,Texas,US,Solar farm,2025,120,-99.112,29.757,100%,120
AWS,Amazon Solar Farm Oklahoma - Kiowa,Kiowa,Oklahoma,US,Solar farm,2025,100,-98.962,34.67,100%,100
AWS,Amazon Solar Farm Texas - Texas One,Milam County,Texas,US,Solar farm,2025,50,-97.155,30.599,100%,50
AWS,Amazon Solar Farm Texas - Stoneridge,Milam County,Texas,US,Solar farm,2025,200,-97.11,30.55,100%,200
AWS,Amazon Solar Farm Texas - Jungmann,Milan County,Texas,US,Solar farm,2025,40,-97.058,30.904,100%,40
AWS,Amazon Solar Farm Arkansas - Prairie Mist,Ashley County,Arkansas,US,Solar farm,2025,99.9,-91.667,33.238,100%,99.9
AWS,Amazon Solar Farm Arkansas – Horseshoe Lake,Crittenden County,Arkansas,US,Solar farm,2025,200,-90.35,35.009,100%,200
AWS,Amazon Solar Farm Indiana - Crossroads,Fountain,Indiana,US,Solar farm,2025,200,-87.298,40.128,100%,200
AWS,Amazon Solar Farm Ohio - Sycamore,Crawford,Ohio,US,Solar farm,2025,117,-82.862,40.936,100%,117
AWS,Amazon Solar Farm Maryland - Morgnec,Kent,Maryland,US,Solar farm,2025,45,-76.051,39.232,100%,45
AWS,Amazon Wind Farm Spain - Salguero,Spain,Spain,Spain,Wind farm,2025,24.8,-4.644,42.136,100%,24.8
AWS,Amazon Wind Farm Spain - Monte Becerril,Spain,Spain,Spain,Wind farm,2025,17.28,-4.591,42.149,100%,17.28
AWS,Amazon Solar Farm Spain - FV Baluarte Solar,Spain,Spain,Spain,Solar farm,2025,24.717,-4.4,42.56,100%,24.717
AWS,Amazon Solar Farm Spain - FV Retama,Spain,Spain,Spain,Solar farm,2025,31.96,-4.39,42.07,100%,31.96
AWS,Amazon Solar Farm Spain - FV Bombarda Solar,Spain,Spain,Spain,Solar farm,2025,24.717,-4.37,42.55,100%,24.717
AWS,Amazon Solar Farm Spain - FV Almendro,Spain,Spain,Spain,Solar farm,2025,31.96,-4.35,42.06,100%,31.96
AWS,Amazon Solar Farm Spain - FV Sauce Solar,Spain,Spain,Spain,Solar farm,2025,27.286,-2.98,40.71,100%,27.286
AWS,Amazon Solar Farm Spain - Canes 1,Spain,Spain,Spain,Solar farm,2025,31.68,-2.962,40.303,100%,31.68
AWS,Amazon Solar Farm Spain - La Pared,Spain,Spain,Spain,Solar farm,2025,174,-2.29,37.12,100%,174
AWS,Amazon Solar Farm Spain - Mambar,Spain,Spain,Spain,Solar farm,2025,26.88,-2.29,37.12,100%,26.88
AWS,Amazon Solar Farm Spain - Energias Barranquilla,Spain,Spain,Spain,Solar farm,2025,32,-2.069999,39.63,100%,32
AWS,Amazon Solar Farm Spain - Valle Del Sol Energias Renovables,Spain,Spain,Spain,Solar farm,2025,32,-2.069,39.62,100%,32
AWS,Amazon Solar Farm Spain - Valdezorita,Spain,Spain,Spain,Solar farm,2025,38.24,-1.74,40.325,100%,38.24
AWS,Amazon Solar Farm Spain - Eiden,Spain,Spain,Spain,Solar farm,2025,26.88,-1.19,39.05,100%,26.88
AWS,Amazon Solar Farm Spain - El Aguila,Spain,Spain,Spain,Solar farm,2025,26.88,-1.18,39.06,100%,26.88
AWS,Amazon Solar Farm Spain - Chambo,Spain,Spain,Spain,Solar farm,2025,26.88,-1.17,39.06,100%,26.88
AWS,Amazon Solar Farm Spain - Escatron,Spain,Spain,Spain,Solar farm,2025,69.69,-0.428,41.254,100%,69.69
AWS,Amazon Solar Farm France - Saint Frichoux,Saint Frichoux,France,France,Solar farm,2025,23.4,2.551,43.256,100%,23.4
AWS,Amazon Wind Farm - Baltic Eagle,Germany,Germany,Germany,Wind farm,2025,189.64,13.899,54.82,100%,189.64
